template_name,template_language,tool,smell_type,element_name
template_11851_Operational-Best-Practices-for-CIS-AWS-v1.3-Level1.yaml,cloudformation,trivy,,
template_11851_Operational-Best-Practices-for-CIS-AWS-v1.3-Level1.yaml,cloudformation,checkov,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,cfn-lint,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,trivy,,
template_11861_Operational-Best-Practices-for-CJIS.yaml,cloudformation,checkov,,
template_12236_graph-neo4j.yaml,cloudformation,cfn-lint,,
template_12236_graph-neo4j.yaml,cloudformation,trivy,,
template_12236_graph-neo4j.yaml,cloudformation,trivy,,
template_12236_graph-neo4j.yaml,cloudformation,trivy,,
template_12236_graph-neo4j.yaml,cloudformation,trivy,,
template_12236_graph-neo4j.yaml,cloudformation,trivy,,
template_12236_graph-neo4j.yaml,cloudformation,checkov,,
template_12659_qs-gwlb.yaml,cloudformation,cfn-lint,,
template_12659_qs-gwlb.yaml,cloudformation,cfn-lint,,
template_12659_qs-gwlb.yaml,cloudformation,cfn-lint,,
template_12659_qs-gwlb.yaml,cloudformation,cfn-lint,,
template_12659_qs-gwlb.yaml,cloudformation,trivy,,
template_12659_qs-gwlb.yaml,cloudformation,checkov,,
template_12732_tgw-asg-master.yaml,cloudformation,cfn-lint,,
template_12732_tgw-asg-master.yaml,cloudformation,cfn-lint,,
template_12732_tgw-asg-master.yaml,cloudformation,trivy,,
template_12732_tgw-asg-master.yaml,cloudformation,checkov,,
template_13424_sagemaker-studio-gpu.yaml,cloudformation,cfn-lint,,
template_13424_sagemaker-studio-gpu.yaml,cloudformation,trivy,,
template_13424_sagemaker-studio-gpu.yaml,cloudformation,checkov,,
template_13835_stack-ecs-cluster.yaml,cloudformation,cfn-lint,,
template_13835_stack-ecs-cluster.yaml,cloudformation,cfn-lint,,
template_13835_stack-ecs-cluster.yaml,cloudformation,cfn-lint,,
template_13835_stack-ecs-cluster.yaml,cloudformation,cfn-lint,,
template_13835_stack-ecs-cluster.yaml,cloudformation,cfn-lint,,
template_13835_stack-ecs-cluster.yaml,cloudformation,trivy,,
template_13835_stack-ecs-cluster.yaml,cloudformation,trivy,,
template_13835_stack-ecs-cluster.yaml,cloudformation,trivy,,
template_13835_stack-ecs-cluster.yaml,cloudformation,trivy,,
template_13835_stack-ecs-cluster.yaml,cloudformation,trivy,,
template_13835_stack-ecs-cluster.yaml,cloudformation,trivy,,
template_13835_stack-ecs-cluster.yaml,cloudformation,trivy,,
